 366: x:1.2482, y:0.5256, t:0.4163
 367: x:1.2916, y:0.4881, t:0.4516
 368: x:1.2772, y:0.3844, t:0.4711
 369: x:1.2477, y:0.5722, t:0.4443
 370: x:1.2870, y:0.4930, t:0.4432
 371: x:1.2858, y:0.3835, t:0.5579
 372: x:1.3057, y:0.6612, t:0.5575
 373: x:1.2533, y:0.6835, t:0.5210
 374: x:1.2471, y:1.2960, t:0.6427
 375: x:1.3066, y:1.2331, t:0.5769
 376: x:1.2529, y:1.2416, t:0.6031
 377: x:1.2950, y:1.7696, t:0.6919
 378: x:1.2560, y:0.7631, t:0.6338
 379: x:1.3057, y:1.0555, t:0.5715
 380: x:1.2941, y:1.7713, t:0.6777
 381: x:1.2875, y:1.6574, t:0.6860
 382: x:1.2654, y:1.5583, t:0.6620
 383: x:1.2620, y:1.0230, t:0.6042
 384: x:1.2424, y:1.2400, t:0.6127
 385: x:1.2763, y:1.2545, t:0.6637
 386: x:1.2627, y:1.5346, t:0.6459
 387: x:1.2990, y:1.2231, t:0.6385
 388: x:1.2657, y:1.4941, t:0.6287
 389: x:1.2635, y:1.0594, t:0.6483
 390: x:1.2489, y:1.1678, t:0.6862
 391: x:-1.2407, y:3.1032, t:0.5683
 392: x:1.2568, y:1.9388, t:0.8142
 393: x:1.2411, y:1.8554, t:0.8288
 394: x:-1.2497, y:0.9482, t:0.7672
 395: x:-1.3334, y:0.8603, t:0.9881
 396: x:1.3082, y:1.3739, t:0.6969
 397: x:-0.6060, y:2.8603, t:0.6681
 398: x:1.2688, y:2.3588, t:0.8776
 399: x:0.4265, y:2.7958, t:0.7828
 400: x:-0.7285, y:3.2690, t:0.7764
 401: x:1.3079, y:1.8859, t:0.8380
 402: x:1.2952, y:1.1587, t:0.6392
 403: x:-1.2410, y:0.6014, t:0.8307
 404: x:-1.2494, y:0.2799, t:0.9839
 405: x:-1.1328, y:-0.8167, t:0.9765
 406: x:1.2977, y:1.5059, t:0.8306
 407: x:-1.2936, y:0.2434, t:0.7444
 408: x:-1.2708, y:1.1564, t:0.9819
 409: x:-1.2598, y:0.2912, t:0.7238
 410: x:-1.3138, y:0.7652, t:0.9992
 411: x:0.7232, y:3.5527, t:0.6948
 412: x:1.2557, y:1.0866, t:0.7134
 413: x:-1.2540, y:1.7757, t:0.5816
 414: x:1.3226, y:1.7256, t:0.7919
 415: x:1.2626, y:1.7960, t:0.6535
 416: x:1.2467, y:2.5758, t:0.8437
 417: x:0.4546, y:2.8318, t:0.7835
 418: x:0.7569, y:3.6603, t:0.7214
 419: x:0.5672, y:2.7740, t:0.6024
 420: x:0.3736, y:2.8012, t:0.8379
 421: x:0.3533, y:2.7434, t:0.8556
 422: x:0.3973, y:2.7423, t:0.8463
 423: x:0.4011, y:2.7892, t:0.9049
 424: x:0.5325, y:2.7494, t:0.8691
 425: x:0.4103, y:2.8178, t:0.8878
 426: x:0.6228, y:2.7784, t:0.8802
 427: x:0.4099, y:2.7513, t:0.8590
 428: x:1.2614, y:2.1446, t:0.7747
 429: x:0.7142, y:3.2814, t:0.9340
 430: x:1.2740, y:3.0695, t:0.9337
 431: x:1.2910, y:2.3568, t:0.8689
 432: x:0.6834, y:3.0203, t:0.8672
 433: x:0.4776, y:2.7879, t:0.8119
 434: x:0.5702, y:2.8316, t:0.8899
 435: x:0.2844, y:2.7739, t:0.8809
 436: x:1.2541, y:2.4613, t:0.8774
 437: x:1.2574, y:1.5203, t:0.7351
 438: x:0.5293, y:2.7901, t:0.8605
 439: x:1.2702, y:2.0404, t:0.8056
 440: x:1.2647, y:2.0144, t:0.8370
 441: x:0.6729, y:2.8127, t:0.8542
 442: x:1.2473, y:1.7805, t:0.7729
 443: x:0.5176, y:2.7417, t:0.8532
 444: x:0.4865, y:2.8141, t:0.8524
 445: x:0.4761, y:2.7491, t:0.8530
 446: x:0.3619, y:2.7485, t:0.8362
 447: x:-0.4334, y:2.7459, t:0.7831
 448: x:0.3818, y:2.7966, t:0.8801
 449: x:0.3592, y:2.8056, t:0.8122
 450: x:0.5429, y:2.8258, t:0.8537
 451: x:0.7222, y:2.9972, t:0.9032
 452: x:0.6118, y:2.8194, t:0.8695
 453: x:0.0249, y:2.7522, t:0.8603
 454: x:0.6787, y:2.8559, t:0.9436
 455: x:0.4079, y:2.8124, t:0.9040
 456: x:0.4440, y:2.7624, t:0.9179
 457: x:-1.3132, y:0.4687, t:-0.8102
 458: x:0.3752, y:2.7702, t:0.8934
 459: x:0.2531, y:2.7678, t:0.8748
 460: x:0.3196, y:2.7924, t:0.8353
 461: x:0.1029, y:2.7667, t:0.8905
 462: x:0.1102, y:2.7419, t:0.8604
 463: x:0.2700, y:2.7609, t:0.8008
 464: x:0.3990, y:2.7685, t:0.8342
 465: x:-0.8855, y:-0.8368, t:-0.5068
 466: x:0.4469, y:2.7787, t:0.8338
 467: x:0.0631, y:2.7871, t:0.8433
 468: x:0.2374, y:2.7710, t:0.8714
 469: x:-1.2820, y:3.4641, t:0.9124
 470: x:0.1937, y:2.7801, t:0.8638
 471: x:-0.6871, y:2.8267, t:0.9162
 472: x:0.2911, y:2.7895, t:0.8629
